propertyId;propertyType;district;coords
295109;Hostal o pensión; Poblados marítimos, Valencia;-0.333830416202545,39.4600801704305
296743;Hostal o pensión; Ciutat Vella, Valencia;-0.375660806894302,39.468284381091
298710;Hostal o pensión; Ciutat Vella, Valencia;-0.375876724720001,39.4686260296634
304276;Hostal o pensión; Ciutat Vella, Valencia;-0.37527322769165,39.4704802203853
305349;Bed & breakfast; Eixample, Valencia;-0.366317331790924,39.4694076738758
305447;Hotel; Eixample, Valencia;-0.361691862344742,39.464117168803
307677;Apartamento; Ciutat Vella, Valencia;-0.377732813358307,39.4745424956764
309465;Hostal o pensión; Ciutat Vella, Valencia;-0.376928150653839,39.4733074814172
312207;Apartamento; Ciutat Vella, Valencia;-0.381250530481339,39.4784979134816
314048;Hostal o pensión; Poblados marítimos, Valencia;-0.323698371648788,39.4645240653687
324918;Apartamento; Quatre Carreres, Valencia;-0.360569357872009,39.4531714833354
326015;Hostal o pensión; Ciutat Vella, Valencia;-0.375687628984451,39.4707970118478
327766;Hostal o pensión; Ciutat Vella, Valencia;-0.379728376865387,39.4750073025733
331871;Hotel; Camins al Grau, Valencia;-0.345542281866074,39.4577949536919
332095;Apartamento; Ciutat Vella, Valencia;-0.375773459672928,39.4725383038715
337092;Apartamento; Ciutat Vella, Valencia;-0.37772074341774,39.4713653693859
337203;Hostal o pensión; Ciutat Vella, Valencia;-0.378882139921188,39.4755870128364
343355;Apartamentos; Ciutat Vella, Valencia;-0.377724766731262,39.4713415585076
345134;Albergue; Eixample, Valencia;-0.371834635734558,39.4625837789449
348132;Hotel; Ciutat Vella, Valencia;-0.372019708156586,39.4759317311132
348555;Apartamento; Quatre Carreres, Valencia;-0.360757112503052,39.4540226805588
355328;Apartamentos; Extramurs, Valencia;-0.385306030511856,39.4771760153065
364825;Apartamentos; Ciutat Vella, Valencia;-0.37210687994957,39.4768064590136
364834;Hostal o pensión; Ciutat Vella, Valencia;-0.373061746358871,39.4716573107973
369695;Bed & breakfast; Ciutat Vella, Valencia;-0.372325479984283,39.4760849386879
369728;Hostal o pensión; Ciutat Vella, Valencia;-0.375542789697647,39.4720186124791
371192;Hostal o pensión; Ciutat Vella, Valencia;-0.37641316652298,39.4747164104246
371275;Apartamentos; Poblados marítimos, Valencia;-0.327779352664948,39.4740983899718
371606;Hostal o pensión; Ciutat Vella, Valencia;-0.380229949951172,39.4752795599592
375456;Apartamentos; Ciutat Vella, Valencia;-0.376599580049515,39.4779192626342
387770;Apartamentos; Extramurs, Valencia;-0.385103523731232,39.4682595338567
387852;Apartamentos; Ciutat Vella, Valencia;-0.377641439440595,39.4712355482435
389902;Apartamento; Ciutat Vella, Valencia;-0.380606800317764,39.4771573822632
390827;Apartamentos; Ciutat Vella, Valencia;-0.373402386903763,39.4703508116932
402080;Apartamento; Campanar, Valencia;-0.392664670944214,39.4803052606216
403555;Apartamentos; Ciutat Vella, Valencia;-0.377620831131935,39.4758520216335
403586;Hotel; Poblados marítimos, Valencia;-0.323658138513565,39.4642424476428
408163;Apartamento; Ciutat Vella, Valencia;-0.382055193185806,39.4752640320001
408511;Hotel; Ciutat Vella, Valencia;-0.374381393194199,39.4688651826659
427198;Apartamento; Ciutat Vella, Valencia;-0.371609330177307,39.4739161919395
432305;Hostal o pensión; Quatre Carreres, Valencia;-0.374087691307068,39.4557478245186
435662;Apartamento; Ciutat Vella, Valencia;-0.379568785429001,39.4746698261596
440757;Apartamentos; Ciutat Vella, Valencia;-0.379857122898102,39.4749286272367
440778;Apartamento; Ciutat Vella, Valencia;-0.373087227344513,39.4732888473376
449777;Hostal o pensión; Rascanya, Valencia;-0.380374789237976,39.4917941698862
450746;Hostal o pensión; Valencia;-0.426184237003326,39.5000743226561
456043;Apartamentos; Ciutat Vella, Valencia;-0.381689071655273,39.4744493268824
464187;Bed & breakfast; Eixample, Valencia;-0.366617739200592,39.4713943565312
471283;Apartamento; Ciutat Vella, Valencia;-0.381170064210892,39.4747795579339
473415;Apartamentos; Extramurs, Valencia;-0.38232609629631,39.4689625001027
476031;Hostal o pensión; Ciutat Vella, Valencia;-0.380396246910095,39.4749969505604
476418;Albergue; Valencia;-0.38384422659874,39.4731749722983
483261;Hotel; Quatre Carreres, Valencia;-0.371004492044449,39.4507089588001
485679;Apartamento; Ciutat Vella, Valencia;-0.376433283090591,39.4748054380441
486507;Apartamentos; Extramurs, Valencia;-0.382310003042221,39.4689656059761
493883;Apartamentos; Ciutat Vella, Valencia;-0.374054163694382,39.4771594526016
493941;Apartamentos; Ciutat Vella, Valencia;-0.372080057859421,39.4709202081382
494202;Albergue; Ciutat Vella, Valencia;-0.370749682188034,39.4761263460827
538056;Hotel; Camins al Grau, Valencia;-0.355919748544693,39.4670264787077
570027;Hostal o pensión; Ciutat Vella, Valencia;-0.374675095081329,39.4706562158203
572187;Hotel; Ciutat Vella, Valencia;-0.377622842788696,39.4690815584838
575582;Apartamentos; Ciutat Vella, Valencia;-0.376893281936646,39.4741729253929
585429;Hostal o pensión; Ciutat Vella, Valencia;-0.370582267587451,39.4747940507968
621683;Apartamentos; Ciutat Vella, Valencia;-0.372053906321526,39.4728970128968
636256;Bed & breakfast; Ciutat Vella, Valencia;-0.372515916824341,39.4704149984345
675839;Hostal o pensión; Ciutat Vella, Valencia;-0.381587147712708,39.478216352311
754329;Hotel; Benicalap, Valencia;-0.397921800613403,39.4915354315626
783206;Apartamento; Ciutat Vella, Valencia;-0.377070307731628,39.4740093614475
818359;Hostal o pensión; Eixample, Valencia;-0.363889932632446,39.4654910822668
824674;Apartamento; Extramurs, Valencia;-0.379176825372269,39.4664942532078
847910;Apartamento; Ciutat Vella, Valencia;-0.378049604605621,39.4723949232675
850157;Apartamento; Eixample, Valencia;-0.374102264686371,39.4637413309302
861452;Apartamentos; Eixample, Valencia;-0.373325943946838,39.46737538066
865461;Apartamento; Eixample, Valencia;-0.376013517379761,39.4624988772364
881275;Apartamento; Ciutat Vella, Valencia;-0.380144119262695,39.4758106140755
886289;Apartamento; Ciutat Vella, Valencia;-0.382125288160751,39.4757464323119
1001766;Apartamento; Playa de la Malvarrosa, Valencia;-0.325645177909792,39.4912211920137
1014334;Apartamento; Ciutat Vella, Valencia;-0.37658250000004,39.4719502
1033085;Apartamentos; Ciutat Vella, Valencia;-0.379870500000038,39.4726232
1042326;Apartamento; Extramurs, Valencia;-0.378367107934537,39.4674914125751
1044426;Apartamentos; Extramurs, Valencia;-0.389425327682147,39.4700712616987
1069530;Apartamentos; La Saïdia, Valencia;-0.370933000000036,39.479858
1073276;Apartamentos; Ciutat Vella, Valencia;-0.380847000000017,39.4762984
1079935;Apartamento; Extramurs, Valencia;-0.38533553481102,39.4662351662206
1099602;Apartamentos; Ciutat Vella, Valencia;-0.375798890772671,39.4786593020917
1100150;Apartamentos; Quatre Carreres, Valencia;-0.35553880859834,39.4554230357704
1106307;Hotel; Ciutat Vella, Valencia;-0.36809116627046,39.4739624278856
1113127;Apartamentos; Ciutat Vella, Valencia;-0.376627999999982,39.4758728
1117150;Hotel; Eixample, Valencia;-0.374372470232629,39.4673117440328
1119829;Apartamento; Ciutat Vella, Valencia;-0.378042599999958,39.4723903
1121681;Apartamento; Ciutat Vella, Valencia;-0.379197299480438,39.4724852307197
1141763;Apartamento; Ciutat Vella, Valencia;-0.380382835865021,39.4780414111567
1148669;Apartamento; La Saïdia, Valencia;-0.386267641139284,39.4888814991269
1163025;Albergue; Poblados marítimos, Valencia;-0.337768500000038,39.461263
1173270;Hotel; Ciutat Vella, Valencia;-0.376230699999951,39.4775181
1177077;Hostal o pensión; Extramurs, Valencia;-0.386657897483815,39.4667863870457
1223953;Hostal o pensión; Ciutat Vella, Valencia;-0.375972999999931,39.4719914
1239711;Apartamento; Eixample, Valencia;-0.376926169940589,39.4641685744946
1266649;Apartamentos; Extramurs, Valencia;-0.378421000000003,39.467754
1273377;Apartamentos; Ciutat Vella, Valencia;-0.375977176686547,39.4778592680194
1273937;Hostal o pensión; Ciutat Vella, Valencia;-0.377248423017932,39.4746366467368
1277215;Apartamento; Ciutat Vella, Valencia;-0.379617363229386,39.4793928353229
1279484;Hotel; Ciutat Vella, Valencia;-0.378975500000024,39.4721912
